0,1,2
10.336784362793,39.9287948608398,85.0
10.330246925354,39.9187612533569,85.0
10.3167238235474,39.8813371658325,85.0
10.3029022216797,39.8426856994629,85.0
10.2891597747803,39.8042888641357,85.0
10.2754697799683,39.7660417556763,85.0
10.2618474960327,39.728009223938,85.0
10.2482748031616,39.6901140213013,85.0
10.2347545623779,39.6523723602295,85.0
10.2212791442871,39.6147556304932,85.0
10.2078475952148,39.5772609710693,85.0
10.1944551467896,39.5398683547974,85.0
10.1808042526245,39.5013799667358,85.0
10.1677875518799,39.465368270874,85.0
10.1544847488403,39.4281816482544,85.0
10.1412515640259,39.3912172317505,85.0
10.1280288696289,39.3542499542236,85.0
10.1148462295532,39.3173875808716,85.0
10.1016893386841,39.2805795669556,85.0
10.0885648727417,39.2438535690308,85.0
10.0754680633545,39.2071895599365,85.0
10.0623998641968,39.1705923080444,85.0
10.0493602752686,39.1340599060059,85.0
10.036057472229,39.0964117050171,85.0
10.0233659744263,39.0611639022827,85.0
10.0103988647461,39.0247821807861,85.0
9.9974889755249,38.9885816574097,85.0
9.98458576202393,38.9523591995239,85.0
9.97171401977539,38.9162178039551,85.0
9.95886325836182,38.8801107406616,85.0
9.94604015350342,38.8440675735474,85.0
9.93323993682861,38.8080701828003,85.0
9.92046451568603,38.7721242904663,85.0
9.90771198272705,38.7362260818481,85.0
9.89469909667969,38.6992206573486,85.0
9.88228416442871,38.6645698547363,85.0
9.86958312988281,38.6287384033203,85.0
9.8569393157959,38.593090057373,85.0
9.84430122375488,38.5574169158935,85.0
9.83169269561767,38.5218191146851,85.0
9.8191032409668,38.4862480163574,85.0
9.80653762817383,38.4507274627686,85.0
9.79399299621582,38.4152450561523,85.0
9.78147029876709,38.379807472229,85.0
9.76896953582764,38.344407081604,85.0
9.75621032714844,38.3079090118408,85.0
9.74403762817383,38.2737312316894,85.0
9.73158264160156,38.2383842468262,85.0
9.71918487548828,38.2032165527344,85.0
9.70679092407227,38.168025970459,85.0
